Topic,Topic2,Category2,Date,Sentiment,Sentiment_YoY_Growth,Frequency,Frequency_YoY_Growth,Trending_Score,Perspective,Perspective2,Category1,Country,Novelty_Score
Seltzer,Flat,soda,last 3 month,-0.6705,-67.049995,2,200.0,0.0,Ingredient,Motivation,Beverage,Canada,8.834928
Shake,Flat,soda,last 3 month,-0.6705,-67.049995,2,200.0,0.0,Motivation,Motivation,Beverage,Canada,8.834928
Shake,Flat,soda,last year,-0.6705,-67.049995,2,200.0,0.0,Motivation,Motivation,Beverage,Canada,8.834928
Soda,Dried,soda,last 3 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Vodka,Lime,soda,last 3 month,0.296,29.6,4,400.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
#Ginvent,Fresh,tonic,last year,0.0,-0.98876655,0,-0.99667776,0.0,Hashtag,Ingredient,Beverage,Canada,
#MarchMadness,@CAEAirport,tonic,last year,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#SimplyAmazing,Coffee,tonic,last 6 month,0.5859,58.59,2,200.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#chairmansreserve,Tonic,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#craftcocktails,#portlandbars,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#craftcocktails,Angostura Bitters,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#fevertree,#portlandbars,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#ginandtonic,#rosemary,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#ginandtonic,Angostura Bitters,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,Fever Tree,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Brand,Beverage,Canada,8.834928
#ginandtonic,Tonic,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,Tonic Water,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#howsyourheadhun,@michellevisage,tonic,last year,-0.2942,-29.42,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
#tiqaportland,Angostura Bitters,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
@columbiasc,@CAEAirport,tonic,last 3 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
Cranberry,Spiced,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Ingredient,Motivation,Beverage,Canada,8.589969
Gin,#fevertree,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Ginger,Rum,tonic,last year,0.8832,88.32,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Ice,Tonic Water,tonic,last year,0.6249,62.489998,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Rosemary,Angostura Bitters,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Spiced,@ChairmansUK,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Motivation,Hashtag,Beverage,Canada,8.589969
#DietCoke,Diet Coke,ginger ale,last 3 month,0.0,0.0,2,200.0,0.0,Hashtag,Brand,Beverage,Canada,8.834928
#artificial,Flavoring,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#beer,Beer,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#drum,#pop,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#groove,@OutwavesMA,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#icecream,#food,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#imnotchubby,#golf,ginger ale,last year,0.0,-0.97732425,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
@Jaguars,Cola,ginger ale,last year,0.0,-0.90966576,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
Abraham,Diet Coke,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Brand,Brand,Beverage,Canada,8.834928
Cherry Coke,#Enjoy,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Coke,#DrizzyBanCo,ginger ale,last year,0.802,80.2,2,200.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Coke,@Jaguars,ginger ale,last year,0.0,-0.90966576,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Coke,Ice,ginger ale,last 6 month,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Coke,Wine,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Ice,Lemon,ginger ale,last 6 month,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Salmon,Alfredo,ginger ale,last year,0.0,-0.9786689,0,-0.99502486,0.0,Ingredient,Brand,Beverage,Canada,8.834928
Salmon,Cake,ginger ale,last 6 month,0.0,-0.9786689,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Soda,Water,ginger ale,last year,0.0,-0.97306037,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sprite,Water,ginger ale,last year,0.0,-0.97306037,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Stomach,Ginger Ale,ginger ale,last year,0.31780002,31.78,3,300.0,0.0,Motivation,Ingredient,Beverage,Canada,7.6868787
Sugar,Sack,ginger ale,last year,0.0,-0.97682506,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Wine,#food,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
#NATURAL,#sparklingwater,soda,last year,0.4404,44.04,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#community,#wellbeing,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#fizzyfriday,Coffee,soda,last year,0.0,-0.97927034,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#happy,#fizzydrink,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#health,#fizzydrink,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#mojito,Ginger,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#stayinnandbeoutout,Sparkling Water,soda,last year,0.296,29.6,4,400.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
Cherry,Soda,soda,last 3 month,0.6124,61.239998,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Cream,Veggies,soda,last year,0.88,88.0,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Dried,Bean Soup,soda,last 6 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Japanese,Sparkling Water,soda,last year,-0.5411,-54.11,2,200.0,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
Seltzer,Water,soda,last year,-0.6705,-67.049995,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Soda,Red,soda,last 6 month,0.0,-1.030303,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sparkling Water,Cheddar Cheese,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sprouts,Mustard,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Strawberry,Tangerine,soda,last year,0.0,-0.98481625,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,7.6868787
Vodka,#NOTANAD,soda,last 6 month,0.296,29.6,4,400.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.589969
Vodka,Sparkling Water,soda,last 3 month,0.296,29.6,4,400.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Water,#RefreshingByNature,soda,last 3 month,0.0,-0.986969,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
#Angular,#developerlife,tonic,last 3 month,0.6369,63.690002,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#RapeSurvivors,@MapsMaponyane,tonic,last year,0.5267,52.670002,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#chairmansreserve,Cranberry,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#chairmansreserve,Cranberry,tonic,last year,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#cocktails,Tonic,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#craftcocktails,#tiqaportland,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#fevertree,Rosemary,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#fevertree,Rosemary,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,#fevertree,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#rosemary,#portlandbars,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#rosemary,Tonic Water,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
Gin,#tiqaportland,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,@CAEAirport,tonic,last 3 month,0.0,-0.9807914,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,Fever Tree,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Brand,Beverage,Canada,8.834928
Gin,Rosemary,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Rosemary,#portlandbars,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Tonic,#bbcqt,tonic,last year,0.0,0.0,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Tonic,Fresh,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,
Tonic,Ice,tonic,last 3 month,0.0,0.0,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Tonic Water,Coffee,tonic,last 6 month,0.5859,58.59,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Tonic Water,Cold,tonic,last year,0.6249,62.489998,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#Coke,Biotech,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Brand,Beverage,Canada,8.834928
#arcade,#wine,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#lightingdesign,#design,ginger ale,last year,0.7263,72.63,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#pop,#rock,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
Cherry,Coke,ginger ale,last year,-0.8442,-84.42,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,7.6868787
Coca Cola,#Enjoy,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Brand,Hashtag,Beverage,Canada,8.834928
Coke,Juice,ginger ale,last 3 month,0.0,-1.0127162,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Coke,Lime,ginger ale,last 6 month,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Coke,Sprite,ginger ale,last year,0.0,-0.9874351,2,-0.33222592,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Honey,Coke,ginger ale,last year,0.0,0.0,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Inca,Soda,ginger ale,last year,0.0,-0.983482,0,-0.99502486,0.0,Brand,Ingredient,Beverage,Canada,8.834928
Jack,Coke,ginger ale,last year,0.53,52.999996,4,400.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Juice,Diet,ginger ale,last 6 month,0.0,-1.0127162,0,-0.99502486,0.0,Ingredient,Motivation,Beverage,Canada,8.834928
Salmon,Cake,ginger ale,last 3 month,0.0,-0.9786689,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Wine,#wine,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
#SparklingWater,#HealthTip,soda,last year,0.0,0.0,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#happiness,Human,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Motivation,Beverage,Canada,8.834928
#humanhappiness,#health,soda,last year,0.937,93.7,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#lemonade,Garnish,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
@RootdHealth,@homejobsbymom,soda,last 3 month,0.68,68.0,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.589969
Carbonated,Seltzer,soda,last 6 month,-0.6705,-67.049995,2,200.0,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
Cheddar Cheese,Eggs,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Flat,Water,soda,last 6 month,-0.6705,-67.049995,2,200.0,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
Ginger,Sparkling Water,soda,last year,0.0,-0.98968965,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Grape,Soda,soda,last year,0.3612,36.12,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.589969
Mustard,Veggies,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Rolls,Soda,soda,last year,0.0772,7.7200003,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Seltzer,Shake,soda,last 6 month,-0.6705,-67.049995,2,200.0,0.0,Ingredient,Motivation,Beverage,Canada,8.834928
Sparkling Water,Coke,soda,last 6 month,0.8687,86.87,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sparkling Water,Veggies,soda,last year,1.1695334,116.95334,3,300.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sprouts,Tomato,soda,last 6 month,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Veggies,Tomato,soda,last year,0.8743,87.43,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Water,Brown,soda,last year,-0.5574,-55.739998,2,200.0,0.0,Ingredient,Motivation,Beverage,Canada,8.834928
#Ginvent,@GinFoundry,tonic,last year,0.0,-0.98876655,0,-0.99667776,0.0,Hashtag,Hashtag,Beverage,Canada,
#Ginvent,Orange,tonic,last year,0.0,-0.98876655,0,-0.99667776,0.0,Hashtag,Ingredient,Beverage,Canada,
#RealColumbiaSC,#MarchMadness,tonic,last 6 month,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#RealColumbiaSC,@drjoshsc,tonic,last year,0.0,-0.9807914,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#TalkAt9,#BunsOut,tonic,last year,0.5267,52.670002,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#TalkAt9,@MapsMaponyane,tonic,last year,0.5267,52.670002,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#craftcocktails,#tiqaportland,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#fevertree,Tonic Water,tonic,last 6 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,Angostura Bitters,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#ginandtonic,Tonic Water,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#rosemary,Angostura Bitters,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
#tiqaportland,Tonic,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
@BrightClubMcr,#scicomm,tonic,last year,0.4926,49.26,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
@DoubleDutchMix,Tonic,tonic,last year,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
@EpicFoundSA,Tonic,tonic,last year,0.5267,52.670002,2,200.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.834928
@craftandcochest,Rum,tonic,last 6 month,0.8832,88.32,3,300.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
Cinnamon,Fresh,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,
Cinnamon,Stick,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Motivation,Beverage,Canada,
Gin,#MarchMadness,tonic,last 6 month,0.0,-0.9807914,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,#portlandbars,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Gin,@MapsMaponyane,tonic,last year,0.5267,52.670002,2,200.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Rosemary,Tonic Water,tonic,last year,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Tonic,@michellevisage,tonic,last month,-0.2942,-29.42,3,300.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.589969
Tonic,Orange,tonic,last 6 month,0.0,-0.98876655,0,-0.99667776,0.0,Ingredient,Ingredient,Beverage,Canada,
Tonic,Tonic Water,tonic,last 3 month,0.0,-1.0423371,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
#DietCoke,Diet Coke,ginger ale,last month,0.0,0.0,2,200.0,0.0,Hashtag,Brand,Beverage,Canada,8.834928
#icecream,#wine,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#jazz,@8gband,ginger ale,last year,0.5067,50.67,2,200.0,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
#lifeofriley,Diet Coke,ginger ale,last year,0.0,-0.97732425,0,-0.99502486,0.0,Hashtag,Brand,Beverage,Canada,8.834928
Black,Sack,ginger ale,last year,0.0,-0.97682506,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Blood,#CherryCoke,ginger ale,last year,0.7184,71.84,2,200.0,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Cheese,Cola,ginger ale,last 6 month,0.0,-0.90966576,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Chipotle,Coke Zero,ginger ale,last year,0.6705,67.049995,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Coke,Coke Zero,ginger ale,last year,0.6705,67.049995,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Creamy,Salmon,ginger ale,last 3 month,0.0,-0.9786689,0,-0.99502486,0.0,Motivation,Ingredient,Beverage,Canada,8.834928
Ginger Ale,Cake,ginger ale,last 6 month,0.0,-0.9786689,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Ginger Ale,Tortellini,ginger ale,last year,-0.5719,-57.190002,2,200.0,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sonic,Cherry,ginger ale,last year,-0.8442,-84.42,3,300.0,0.0,Brand,Ingredient,Beverage,Canada,7.6868787
Sonic,Coke,ginger ale,last year,-0.8442,-84.42,3,300.0,0.0,Brand,Ingredient,Beverage,Canada,7.6868787
Sprite,Lime,ginger ale,last year,0.0,-0.9879169,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
Sweet Pickles,Cola,ginger ale,last 6 month,0.0,-0.90966576,0,-0.99502486,0.0,Ingredient,Ingredient,Beverage,Canada,8.834928
White House,Diet Coke,ginger ale,last year,0.0,0.0,0,-0.99502486,0.0,Brand,Brand,Beverage,Canada,8.834928
Wine,#lasertag,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
Wine,#minigolf,ginger ale,last year,0.0,-0.9838788,0,-0.99502486,0.0,Ingredient,Hashtag,Beverage,Canada,8.834928
#Klarbrunn4Life,#Relax,soda,last year,0.4404,44.04,3,300.0,0.0,Hashtag,Hashtag,Beverage,Canada,7.6868787
#NOTANAD,Sparkling Water,soda,last 3 month,0.296,29.6,4,400.0,0.0,Hashtag,Ingredient,Beverage,Canada,8.589969
#WorldWaterDay2019,#RefreshingByNature,soda,last year,0.0,-0.986969,0,-0.99502486,0.0,Hashtag,Hashtag,Beverage,Canada,8.834928
